Factory Patch,Patch Type,Author,Patch Name,Description,Expression Pedal/External Switch Functionality,Left Stompswitch Functionality
22,SINGLE EFFECT,Evan Sirchuk,NatGeo,Delay into phaser into stereo ghostverb out. Wake from your sleep.,Toe down brings on infinite delay repeats,Toggles on infinite reverb and additional modulation
23,SINGLE EFFECT,Gabriel Tanaka,Stereo Flanger,A stereo flanger inspired by running 2 Chase Bliss Audio Spectres in parallel,Increases rate of flanger,Toggles between positive and negative flanging
24,SINGLE EFFECT,Dean Morris,Road To Ruin,"Audio to synthesis, ugly and bit modulated. Only tracks single notes.",Toe down shifts an oscillator up one octave and another down one octave.,Hold to glide one oscillator up and the other down an octave
25,SINGLE EFFECT,Dean Morris,Burn It Clean,A stereo gated fuzz ,Toe down brings in an echo,Hold to slowly bring in an echo
26,WILD EFFECT,Ian Pritchard,Drunk Delay,"Two slightly out of skew tap tempo delay lines, whose feedback increases the higher up the neck you play",Toe down brings on additional repeats and modulation,"Left stomp taps delay, kind of!"
27,WILD EFFECT,Dean Morris,Chinook,"Stereo fuzz, gusting with icy northern wind",Toe down brings on the chinook,Left stomp brings on the chinook
28,WILD EFFECT,Ian Pritchard,Env Vibrato,A weird little vibrato created by a pair of delay lines changing their time to your pick attack,Toe down brings up delay time with a bit of weirdness during travel,Toggles randomness on one delay line
29,WILD EFFECT,Ian Pritchard,PitchRingMod,A ring mod effect ringing against a generated tone affected by your pitch,Toe down brings up oscillator pitch,Toggles transposition of generated tone
30,WILD EFFECT,Dean Morris,Bipedal Delay,A stereo tap tempo delay with each repeat pitched up by a semitone.,Toe down brings up left delay to +5 and right delay to -1 semitones,Tap tempo of delay
31,WILD EFFECT,Ian Pritchard,EmitterVerb,"A balance module takes signals from both inputs, diffuse delays them, and outputs them mixed as left output dry, right output wet.",Toe down for infinite decay,Left stomp brings on infinite decay
32,WILD EFFECT,Evan Sirchuk,Slot Machine,Two parallel fuzzes into an aliaser which changes alias amount using a slow LFO,Toe down increases rate of alias LFO,"Left stomp triggers a temporary decaying boost in LFO rate, fuzz gain, and alias amount"
33,WILD EFFECT,Dean Morris,V-Sync,"Warbly and grainy old VHS sounds get chewed with your pick attack, SMPTE colour bars and 1K pilot tone which ducks away from incoming audio",Toe down brings up a ring mod frequency,"Hold left stomp to ramp in some room reverb, and toggle off the pilot tone"
34,WILD EFFECT,Dean Morris,Diamond Sea,"An attempt to recreate the Ludwig Phase II used in Sonic Youth's ""The Diamond Sea""",Toe down increases delay feedback and modulation,Tap tempo of delay and filters
35,WILD EFFECT,Mitch Lantz,Vangelis Verb,Plate reverb into a delay line pitched up by a 5th and fed back into delay/reverb,Toe down introduces modulation and also speeds it up,Increases pitch shift
36,WILD EFFECT,Scott Deathe,Space Fuzz,A flanged out fuzz with some modulated delay,Toe down pushes flange rate and delay feedback into the sun,Left stomp maxes out several parameters for maximum cosmic debris
37,WILD EFFECT,Evan Sirchuk,Phaker,"An overdrivey, aliased out envelope filter. ",Toe down brings up Q of filters,Left stomp toggles boost in filter frequency and aliaser LFO rate
38,WILD EFFECT,Dean Morris,Lost Woods,"A stereo plate reverb whose decay time increases the harder you play, into a stereo panning tremolo whose rate increases the higher pitch you play.",Expression pedal increases reverb decay time.,Stomp left slowly increases tremolo rate and depth.
39,WILD EFFECT,Nihal Anand ,Sea Dreams,Vibrato-y reverb with random delayed and pitched artifacts.,"Toe down makes things crazier, increases tremolo rate",Left stomp triggers chorus.
40,WILD EFFECT,aBunchOfPedals,Oafish,"A tap tempo tremolo and stereo delay pay homage to Big Wreck's ""The Oaf""",Expression pedal increases delay mod rate and depth.,Tap tempo tremolo and delay  (clock x4)
41,PLAYABLE SYNTH,Dean Morris,Sayonara,Mono video game lead with drone notes playable on bottom row. MIDI channel 1.,Toe down increases reverb intensity,Left stomp slowly pitches up MIDI note
42,PLAYABLE SYNTH,Daniel Fisher,QS Keyboard,Long echoing mono lead. Keyboard on bottom row or MIDI channel 1,Toe down decreases delay time into pitch bent subspace.,Left stomp transposes played note 1.5 steps
43,MIDI SYNTH,JT Norton,Ana String,Somber 4 voice poly synth.,N/A,N/A
44,MIDI SYNTH,JT Norton,Moge Model Z,A tribute to one of the greatest synths of all-time,N/A,N/A
45,MIDI SYNTH,Dean Morris,Air Raid Siren,4 voice poly synth with aftertouch that warns you of impending doom.,Spins air raid crank,Spins air raid crank
46,MIDI SYNTH,Dean Morris,Alf Pogs,A reverby mono synth with glitchy aftertouch.,Toe down transposes oscillators upwards 1 and 2 octaves,Maxes out reverb decay and mix
47,MIDI SYNTH,JT Norton,Strange Chords,A polyphonic synth that gets weirder the more notes you play. MIDI channel 1.,Toe down increases resonance of filter,Left stomp slowly increases filter modulation
48,MIDI SYNTH,JT Norton,Lost in Space,A weird and wacky mono synth playable on MIDI channel 1.,,Hold left stomp to slowly increase pitch
49,MIDI SYNTH,Benn Jordan,TUT Subtractive,Simple Moog/Euro style subtractive synth template.,Toe down increases rate of parallel vibrato,Hold to slowly ramp up rate of parallel vibrato and frequency of filter
50,MIDI SYNTH,JT Norton,Airport Wind,A mellow 4 voice synth pad,N/A,N/A
51,MIDI SYNTH,Benn Jordan,Broken Bell,A synthesized bell sound,Toe down increases reverb decay time,Hold while playing for a longer bell sound
52,SELF-PLAYING SYNTH,Nihal Anand,Beep Boop,Some boops and some beeps played by a seqencer.,Toe down increases rate of sequencer,"Increases rate of sequencer, pitches up oscillators and brings in additional melody."
53,SELF-PLAYING SYNTH,Joe Pailo,Joebot,Some boops and some beeps played by a seqencer.,Toe down increases filter frequency,Hold to slowly decrease LFO
54,SELF-PLAYING SYNTH,Benn Jordan,Chimelands,Synthesized chimes lull you into a state of bliss,Increases rate and randomness of chimes,Hold to bring in the tides
55,SELF-PLAYING SYNTH,Nihal Anand,Cloud Party,Some boops and some beeps played by a sequencer,Toe down increases rate and pitch,Toggles bass line
56,SELF-PLAYING SYNTH,Benn Jordan,Acidwolf Pedal,Sequenced groove to lay down some cardboard and spin on your head to,Toe down increases pulse width and Q of 303 filter,Retriggers sequence
57,SELF-PLAYING SYNTH,Benn Jordan,Empty Streets,Ethereal soundscape,N/A,N/A
58,SELF-PLAYING SYNTH,Benn Jordan,Turing Machine,A basic turing machine that randomly takes bits of a sequence and loops it or rearranges it. ,Toe down increases filter Q and reverb decay,Hold to slowly increase pitch of oscillators
59,SELF-PLAYING SYNTH,Benn Jordan,Am I Conscious,.,Toe down increases mod depth of delay,Hold for infinite repeats and reverb
60,BLANK SANDBOX,,,,,
61,BLANK SANDBOX,,,,,
62,BLANK SANDBOX,,,,,
63,BLANK SANDBOX,,,,,
